id,senal,umbral,accion_pactada
1,Contencion IA end-to-end en despliegues reales del sector,>40% sostenido,+peso S1/S2 y acelerar canibalizacion
2,Deflacion de precio en renovaciones BPO,>30% interanual,+S1 y activar repricing por resolucion
3,ARR agregado de disruptores CX nativos,>$5B,+S1/S2 y evaluar M&A defensivo
4,Clientes top-20 anunciando internalizacion,>=2 clientes,+S1 y contraoferta con IA propia inmediata
5,Plantilla neta de los 5 grandes BPO,-10% agregado,+S1/S2 y anticipar pacto social propio
6,Regulacion derecho-a-humano UE,propuesta formal,+S3 y monetizar compliance ISO 42001
7,Contactos entrantes generados por agentes personales de IA,>2% del inbound,activar estrategia agente-a-agente (endpoints M2M)
8,NPS de IA vs humano por tipo de gestion,IA >= humano en gestion compleja,+S2 y re-segmentar catalogo humano premium
9,Progreso de modelos frontera en benchmarks agenticos duros,estancamiento <90% durante 2027,+S3 (scaling wall) y frenar capex de automatizacion
10,Negociacion del IV Convenio (Espana),veto sindical al despido por IA como condicion bloqueante,+S3 en Iberia y acelerar plan de atricion silenciosa
11,Cuotas de empleo de Zonas Francas (Colombia),propuesta formal de endurecimiento,re-secuenciar automatizacion Latam
12,Tasa de atricion voluntaria propia,<3% mensual estructural,replantear coste de transicion (atricion insuficiente)
13,ISO 42001 en RFPs Tier-1,>30% de pliegos lo exigen,+S2 y poner precio explicito al escudo de compliance
