id,signal,threshold,pre_agreed_action
1,E2E AI containment in real industry deployments,>40% sustained,+weight S1/S2 and accelerate cannibalization
2,Price deflation in BPO renewals,>30% YoY,+S1 and activate per-resolution repricing
3,Aggregate ARR of AI-native CX disruptors,>$5B,+S1/S2 and evaluate defensive M&A
4,Top-20 clients announcing in-sourcing,>=2 clients,+S1 and immediate counter-offer with own AI
5,Net workforce of the 5 BPO majors,-10% aggregate,+S1/S2 and anticipate own social agreement
6,EU right-to-a-human regulation,formal proposal,+S3 and monetize ISO 42001 compliance
7,Inbound contacts generated by consumers' personal AI agents,>2% of inbound,activate agent-to-agent strategy (M2M endpoints)
8,NPS of AI vs human by interaction type,AI >= human in complex interactions,+S2 and re-segment the premium human catalog
9,Frontier-model progress on hard agentic benchmarks,stall <90% through 2027,+S3 (scaling wall) and slow automation capex
10,IV Convenio negotiation (Spain),union AI-layoff veto as blocking condition,+S3 in Iberia and accelerate silent-attrition plan
11,Free-trade-zone employment quotas (Colombia),formal tightening proposal,re-sequence Latam automation
12,Own voluntary attrition rate,<3% monthly structural,re-plan transition cost (attrition insufficient)
13,ISO 42001 in Tier-1 RFPs,>30% of tenders require it,+S2 and price the compliance shield explicitly
